frame_path,label
frames\fight\fight_0001_00000.jpg,1
frames\fight\fight_0001_00001.jpg,1
frames\fight\fight_0001_00002.jpg,1
frames\fight\fight_0001_00003.jpg,1
frames\fight\fight_0001_00004.jpg,1
frames\fight\fight_0001_00005.jpg,1
frames\fight\fight_0001_00006.jpg,1
frames\fight\fight_0001_00007.jpg,1
frames\fight\fight_0001_00008.jpg,1
frames\fight\fight_0001_00009.jpg,1
frames\fight\fight_0001_00010.jpg,1
frames\fight\fight_0001_00011.jpg,1
frames\fight\fight_0001_00012.jpg,1
frames\fight\fight_0001_00013.jpg,1
frames\fight\fight_0001_00014.jpg,1
frames\fight\fight_0002_00000.jpg,1
frames\fight\fight_0002_00001.jpg,1
frames\fight\fight_0002_00002.jpg,1
frames\fight\fight_0002_00003.jpg,1
frames\fight\fight_0002_00004.jpg,1
frames\fight\fight_0002_00005.jpg,1
frames\fight\fight_0002_00006.jpg,1
frames\fight\fight_0002_00007.jpg,1
frames\fight\fight_0002_00008.jpg,1
frames\fight\fight_0002_00009.jpg,1
frames\fight\fight_0002_00010.jpg,1
frames\fight\fight_0002_00011.jpg,1
frames\fight\fight_0002_00012.jpg,1
frames\fight\fight_0002_00013.jpg,1
frames\fight\fight_0002_00014.jpg,1
frames\fight\fight_0002_00015.jpg,1
frames\fight\fight_0002_00016.jpg,1
frames\fight\fight_0002_00017.jpg,1
frames\fight\fight_0002_00018.jpg,1
frames\fight\fight_0002_00019.jpg,1
frames\fight\fight_0002_00020.jpg,1
frames\fight\fight_0002_00021.jpg,1
frames\fight\fight_0002_00022.jpg,1
frames\fight\fight_0002_00023.jpg,1
frames\fight\fight_0002_00024.jpg,1
frames\fight\fight_0002_00025.jpg,1
frames\fight\fight_0002_00026.jpg,1
frames\fight\fight_0002_00027.jpg,1
frames\fight\fight_0002_00028.jpg,1
frames\fight\fight_0002_00029.jpg,1
frames\fight\fight_0002_00030.jpg,1
frames\fight\fight_0002_00031.jpg,1
frames\fight\fight_0002_00032.jpg,1
frames\fight\fight_0002_00033.jpg,1
frames\fight\fight_0002_00034.jpg,1
frames\fight\fight_0002_00035.jpg,1
frames\fight\fight_0002_00036.jpg,1
frames\fight\fight_0002_00037.jpg,1
frames\fight\fight_0002_00038.jpg,1
frames\fight\fight_0002_00039.jpg,1
frames\fight\fight_0002_00040.jpg,1
frames\fight\fight_0002_00041.jpg,1
frames\fight\fight_0002_00042.jpg,1
frames\fight\fight_0002_00043.jpg,1
frames\fight\fight_0002_00044.jpg,1
frames\fight\fight_0002_00045.jpg,1
frames\fight\fight_0002_00046.jpg,1
frames\fight\fight_0002_00047.jpg,1
frames\fight\fight_0003_00000.jpg,1
frames\fight\fight_0003_00001.jpg,1
frames\fight\fight_0003_00002.jpg,1
frames\fight\fight_0003_00003.jpg,1
frames\fight\fight_0003_00004.jpg,1
frames\fight\fight_0003_00005.jpg,1
frames\fight\fight_0003_00006.jpg,1
frames\fight\fight_0003_00007.jpg,1
frames\fight\fight_0003_00008.jpg,1
frames\fight\fight_0003_00009.jpg,1
frames\fight\fight_0003_00010.jpg,1
frames\fight\fight_0003_00011.jpg,1
frames\fight\fight_0003_00012.jpg,1
frames\fight\fight_0003_00013.jpg,1
frames\fight\fight_0003_00014.jpg,1
frames\fight\fight_0003_00015.jpg,1
frames\fight\fight_0003_00016.jpg,1
frames\fight\fight_0003_00017.jpg,1
frames\fight\fight_0003_00018.jpg,1
frames\fight\fight_0003_00019.jpg,1
frames\fight\fight_0003_00020.jpg,1
frames\fight\fight_0003_00021.jpg,1
frames\fight\fight_0003_00022.jpg,1
frames\fight\fight_0003_00023.jpg,1
frames\fight\fight_0003_00024.jpg,1
frames\fight\fight_0003_00025.jpg,1
frames\fight\fight_0003_00026.jpg,1
frames\fight\fight_0003_00027.jpg,1
frames\fight\fight_0003_00028.jpg,1
frames\fight\fight_0003_00029.jpg,1
frames\fight\fight_0003_00030.jpg,1
frames\fight\fight_0003_00031.jpg,1
frames\fight\fight_0003_00032.jpg,1
frames\fight\fight_0003_00033.jpg,1
frames\fight\fight_0003_00034.jpg,1
frames\fight\fight_0003_00035.jpg,1
frames\fight\fight_0003_00036.jpg,1
frames\fight\fight_0003_00037.jpg,1
frames\fight\fight_0003_00038.jpg,1
frames\fight\fight_0003_00039.jpg,1
frames\fight\fight_0003_00040.jpg,1
frames\fight\fight_0003_00041.jpg,1
frames\fight\fight_0003_00042.jpg,1
frames\fight\fight_0003_00043.jpg,1
frames\fight\fight_0003_00044.jpg,1
frames\fight\fight_0003_00045.jpg,1
frames\fight\fight_0003_00046.jpg,1
frames\fight\fight_0003_00047.jpg,1
frames\fight\fight_0003_00048.jpg,1
frames\fight\fight_0003_00049.jpg,1
frames\fight\fight_0004_00000.jpg,1
frames\fight\fight_0004_00001.jpg,1
frames\fight\fight_0004_00002.jpg,1
frames\fight\fight_0004_00003.jpg,1
frames\fight\fight_0004_00004.jpg,1
frames\fight\fight_0004_00005.jpg,1
frames\fight\fight_0004_00006.jpg,1
frames\fight\fight_0004_00007.jpg,1
frames\fight\fight_0004_00008.jpg,1
frames\fight\fight_0004_00009.jpg,1
frames\fight\fight_0004_00010.jpg,1
frames\fight\fight_0004_00011.jpg,1
frames\fight\fight_0004_00012.jpg,1
frames\fight\fight_0004_00013.jpg,1
frames\fight\fight_0004_00014.jpg,1
frames\fight\fight_0004_00015.jpg,1
frames\fight\fight_0004_00016.jpg,1
frames\fight\fight_0004_00017.jpg,1
frames\fight\fight_0004_00018.jpg,1
frames\fight\fight_0004_00019.jpg,1
frames\fight\fight_0004_00020.jpg,1
frames\fight\fight_0004_00021.jpg,1
frames\fight\fight_0004_00022.jpg,1
frames\fight\fight_0004_00023.jpg,1
frames\fight\fight_0004_00024.jpg,1
frames\fight\fight_0004_00025.jpg,1
frames\fight\fight_0004_00026.jpg,1
frames\fight\fight_0004_00027.jpg,1
frames\fight\fight_0004_00028.jpg,1
frames\fight\fight_0004_00029.jpg,1
